Sex,Age,Height,Weight,NOC,Category
1,30.0,175.0,66.0,212,endurance_stamina - running
1,25.0,169.0,62.0,210,multi_discipline_combined
1,26.0,189.0,90.0,61,Uncategorized
1,18.0,180.0,87.0,74,team_sports - ice_hockey
0,25.0,168.0,65.0,178,sprint_classes - athletics
1,26.0,197.0,118.0,19,strength_power_throws
0,29.0,174.0,70.0,104,team_sports - volleyball
0,28.0,160.0,58.0,168,athletics_technical - hurdles_steeplechase
0,23.0,162.0,50.0,196,sprint_classes - athletics
1,24.0,193.0,93.0,72,watercraft_racing - rowing
1,22.0,178.0,82.0,212,team_sports - ice_hockey
1,34.0,153.0,40.0,142,team_sports - baseball_softball
1,25.0,172.0,64.0,77,boxing - lighter_classes_speed
1,21.0,174.0,66.0,102,athletics_technical - hurdles_steeplechase
1,22.0,169.0,60.0,113,endurance_stamina - running
0,26.0,176.0,68.0,190,watercraft_racing - sailing
1,25.0,193.0,85.0,212,watercraft_racing - rowing
1,20.0,170.0,65.0,61,sprint_classes - athletics
1,20.0,180.0,73.0,53,Uncategorized
1,21.0,181.0,82.0,190,team_sports - ice_hockey
1,22.0,187.0,88.0,50,team_sports - basketball
0,23.0,178.0,70.0,77,racket_net_sports - badminton
1,21.0,170.0,71.0,107,judo - middle_classes_mixed
0,23.0,165.0,62.0,35,team_sports - ice_hockey
0,22.0,166.0,50.0,160,athletics_technical - hurdles_steeplechase
1,27.0,185.0,80.0,203,team_sports - football
0,27.0,158.0,50.0,28,endurance_stamina - running
1,22.0,191.0,85.0,62,watercraft_racing - rowing
1,21.0,176.0,77.0,98,team_sports - water_polo
1,19.0,173.0,61.0,35,sprint_classes - cycling
1,30.0,173.0,82.0,88,precision_marksmanship - shooting
1,20.0,196.0,74.0,51,athletics_technical - jumps_and_vault
1,21.0,167.0,64.0,13,winter_sliding_alpine - alpine_skiing
1,24.0,177.0,80.0,8,judo - middle_classes_mixed
1,17.0,180.0,70.0,71,sprint_classes - athletics
0,18.0,168.0,59.0,209,sprint_classes - swimming
0,19.0,160.0,55.0,103,endurance_stamina - biathlon
1,23.0,173.0,71.0,163,team_sports - football
1,17.0,190.0,77.0,166,athletics_technical - jumps_and_vault
1,22.0,171.0,71.0,92,team_sports - football
1,22.0,163.0,60.0,204,wrestling - lighter_classes_speed
1,27.0,188.0,91.0,210,team_sports - water_polo
1,24.0,174.0,65.0,159,team_sports - hockey
0,27.0,177.0,70.0,119,strength_power_throws
0,22.0,175.0,63.0,212,watercraft_racing - canoeing_kayaking
1,23.0,183.0,73.0,210,sprint_classes - athletics
0,24.0,167.0,73.0,93,strength_power_throws
1,24.0,165.0,58.0,66,endurance_stamina - cross_country_skiing
0,19.0,172.0,70.0,147,watercraft_racing - canoeing_kayaking
1,25.0,167.0,66.0,84,sprint_classes - athletics
1,24.0,177.0,68.0,174,sprint_classes - athletics
1,23.0,187.0,85.0,8,team_sports - volleyball
0,24.0,165.0,57.0,212,athletics_technical - hurdles_steeplechase
1,24.0,180.0,97.0,35,endurance_stamina - cross_country_skiing
1,23.0,196.0,92.0,8,team_sports - volleyball
1,29.0,176.0,85.0,98,watercraft_racing - sailing
0,22.0,171.0,58.0,147,endurance_stamina - biathlon
0,25.0,175.0,60.0,175,racket_net_sports - badminton
0,21.0,174.0,73.0,72,winter_sliding_alpine - alpine_skiing
0,15.0,160.0,54.0,128,endurance_stamina - longer_middle_swimming
1,25.0,184.0,82.0,149,sprint_classes - swimming
1,24.0,178.0,78.0,31,winter_sliding_alpine - alpine_skiing
1,23.0,168.0,57.0,90,boxing - lighter_classes_speed
1,20.0,194.0,95.0,12,Uncategorized
0,24.0,183.0,70.0,204,team_sports - basketball
0,25.0,162.0,48.0,187,equestrian
1,26.0,183.0,70.0,72,wrestling - middle_classes_mixed
0,23.0,175.0,61.0,35,endurance_stamina - road_cycling
1,24.0,181.0,68.0,86,racket_net_sports - table_tennis
1,21.0,182.0,75.0,194,boxing - middle_classes_mixed
0,33.0,185.0,89.0,103,strength_power_throws
1,40.0,189.0,100.0,187,watercraft_racing - sailing
1,21.0,179.0,70.0,162,sprint_classes - swimming
1,26.0,187.0,89.0,149,watercraft_racing - rowing
1,29.0,183.0,67.0,90,team_sports - hockey
1,20.0,181.0,81.0,98,boxing - heavy_classes_power
1,25.0,168.0,67.0,12,equestrian
1,22.0,183.0,76.0,89,sprint_classes - athletics
0,25.0,179.0,115.0,168,strength_power_throws
1,25.0,175.0,61.0,212,endurance_stamina - running
0,20.0,170.0,60.0,28,sprint_classes - athletics
1,23.0,178.0,69.0,212,sprint_classes - athletics
1,23.0,184.0,74.0,74,endurance_stamina - cross_country_skiing
1,20.0,172.0,64.0,201,Uncategorized
0,30.0,167.0,52.0,98,team_sports - volleyball
0,30.0,164.0,48.0,62,endurance_stamina - running
1,23.0,178.0,75.0,28,boxing - middle_classes_mixed
1,40.0,178.0,72.0,212,watercraft_racing - canoeing_kayaking
0,20.0,170.0,63.0,40,watercraft_racing - canoeing_kayaking
0,19.0,172.0,65.0,61,racket_net_sports - badminton
1,25.0,184.0,91.0,77,strength_power_throws
1,31.0,184.0,72.0,209,endurance_stamina - road_cycling
1,22.0,168.0,67.0,98,team_sports - hockey
1,20.0,175.0,65.0,29,sprint_classes - athletics
1,29.0,160.0,68.0,149,weightlifting - light_classes
1,20.0,177.0,86.0,31,wrestling - middle_classes_mixed
0,27.0,156.0,55.0,73,endurance_stamina - running
0,22.0,180.0,75.0,212,sprint_classes - swimming
1,32.0,174.0,95.0,179,precision_marksmanship - shooting
1,20.0,169.0,54.0,204,boxing - lighter_classes_speed
1,37.0,193.0,110.0,12,team_sports - baseball_softball
1,18.0,181.0,83.0,50,athletics_technical - jumps_and_vault
0,24.0,183.0,96.0,209,strength_power_throws
1,22.0,196.0,81.0,58,team_sports - volleyball
0,25.0,167.0,50.0,102,endurance_stamina - triathlon
1,23.0,175.0,79.0,212,team_sports - curling
1,25.0,186.0,81.0,88,athletics_technical - jumps_and_vault
1,19.0,165.0,54.0,203,boxing - lighter_classes_speed
1,20.0,188.0,73.0,190,athletics_technical - jumps_and_vault
0,19.0,178.0,66.0,212,sprint_classes - swimming
1,26.0,183.0,75.0,212,endurance_stamina - running
1,21.0,176.0,68.0,67,athletics_technical - jumps_and_vault
1,21.0,170.0,57.0,75,boxing - lighter_classes_speed
1,25.0,166.0,77.0,35,weightlifting - middle_classes
0,23.0,178.0,70.0,166,team_sports - handball
1,36.0,190.0,83.0,190,watercraft_racing - sailing
1,25.0,188.0,95.0,147,winter_sliding_alpine - bobsleigh
0,27.0,168.0,78.0,77,strength_power_throws
1,22.0,183.0,80.0,72,racket_net_sports - badminton
1,27.0,168.0,60.0,167,wrestling - lighter_classes_speed
1,30.0,170.0,59.0,155,sprint_classes - cycling
0,29.0,166.0,57.0,77,team_sports - curling
0,26.0,180.0,71.0,13,watercraft_racing - rowing
1,27.0,181.0,80.0,88,watercraft_racing - canoeing_kayaking
1,23.0,190.0,87.0,35,team_sports - football
1,20.0,175.0,65.0,40,precision_marksmanship - shooting
1,20.0,178.0,71.0,66,artistic_aesthetic_judged - snowboarding
0,25.0,168.0,60.0,223,team_sports - handball
0,17.0,176.0,68.0,52,Uncategorized
1,23.0,183.0,69.0,53,endurance_stamina - road_cycling
1,21.0,172.0,78.0,8,team_sports - hockey
1,28.0,168.0,75.0,58,fencing
0,30.0,175.0,62.0,142,watercraft_racing - sailing
1,26.0,168.0,57.0,155,sprint_classes - athletics
1,23.0,171.0,79.0,35,judo - middle_classes_mixed
1,25.0,182.0,67.0,167,endurance_stamina - road_cycling
1,23.0,175.0,64.0,187,athletics_technical - hurdles_steeplechase
1,34.0,175.0,63.0,66,endurance_stamina - running
1,36.0,168.0,65.0,190,precision_marksmanship - shooting
1,24.0,187.0,81.0,210,team_sports - water_polo
0,20.0,168.0,53.0,149,endurance_stamina - road_cycling
1,22.0,173.0,71.0,167,team_sports - hockey
1,21.0,196.0,90.0,31,boxing - heavy_classes_power
1,20.0,202.0,103.0,168,team_sports - volleyball
