Sex,Age,Height,Weight,NOC,Category
1,20.0,179.0,57.0,162,boxing - lighter_classes_speed
0,28.0,175.0,67.0,149,watercraft_racing - rowing
1,23.0,187.0,80.0,13,endurance_stamina - road_cycling
0,24.0,162.0,53.0,40,endurance_stamina - cross_country_skiing
1,22.0,169.0,64.0,52,boxing - lighter_classes_speed
0,25.0,158.0,51.0,102,endurance_stamina - triathlon
1,19.0,181.0,86.0,212,precision_marksmanship - archery
1,24.0,171.0,69.0,61,team_sports - hockey
0,24.0,178.0,70.0,215,team_sports - volleyball
0,26.0,168.0,73.0,168,team_sports - ice_hockey
1,20.0,190.0,83.0,72,watercraft_racing - canoeing_kayaking
1,17.0,170.0,54.0,159,winter_sliding_alpine - ski_jumping
1,25.0,167.0,90.0,12,weightlifting - heavy_classes
0,20.0,162.0,58.0,201,racket_net_sports - badminton
0,32.0,160.0,54.0,212,athletics_technical - jumps_and_vault
1,22.0,173.0,60.0,58,boxing - lighter_classes_speed
1,23.0,179.0,82.0,72,athletics_technical - jumps_and_vault
0,30.0,167.0,48.0,78,endurance_stamina - running
1,16.0,179.0,68.0,210,sprint_classes - swimming
1,19.0,170.0,67.0,172,boxing - middle_classes_mixed
1,18.0,180.0,74.0,187,sprint_classes - swimming
1,21.0,193.0,73.0,77,equestrian
1,23.0,174.0,60.0,40,precision_marksmanship - shooting
1,19.0,173.0,74.0,171,wrestling - middle_classes_mixed
0,21.0,170.0,54.0,67,fencing
1,28.0,183.0,67.0,12,endurance_stamina - running
1,25.0,169.0,69.0,79,artistic_aesthetic_judged - diving
1,25.0,167.0,67.0,210,wrestling - middle_classes_mixed
1,24.0,179.0,78.0,28,racket_net_sports - tennis
1,18.0,165.0,63.0,104,sprint_classes - athletics
1,25.0,172.0,67.0,93,boxing - middle_classes_mixed
1,24.0,193.0,84.0,212,sprint_classes - athletics
1,26.0,183.0,76.0,66,endurance_stamina - biathlon
1,30.0,182.0,79.0,93,team_sports - hockey
1,23.0,190.0,77.0,68,fencing
1,24.0,190.0,83.0,98,team_sports - volleyball
0,16.0,152.0,44.0,212,artistic_aesthetic_judged - gymnastics
1,27.0,176.0,74.0,159,fencing
0,23.0,166.0,59.0,190,team_sports - football
0,23.0,175.0,98.0,12,strength_power_throws
1,38.0,192.0,96.0,68,precision_marksmanship - shooting
